"collection_name","article_id","title","doi","tags"
"Buckets","8059145","Protected well with double bucket system - colour","https://doi.org/10.17028/rd.lboro.8059145.v1","Technical illustration and graphics"
"Buckets","7959188","The Blair bucket pump","https://doi.org/10.17028/rd.lboro.7959188.v1","Technical illustration and graphics"
"Buckets","7981961","The Blair bucket and windlass","https://doi.org/10.17028/rd.lboro.7981961.v1","Technical illustration and graphics"
"Buckets","7981958","The Blair bucket and its valve 2","https://doi.org/10.17028/rd.lboro.7981958.v1","Technical illustration and graphics"
"Buckets","7981955","The Blair bucket and its valve 1","https://doi.org/10.17028/rd.lboro.7981955.v1","Technical illustration and graphics"
"Buckets","7981874","Replacing the washer of a Blair bucket","https://doi.org/10.17028/rd.lboro.7981874.v1","Technical illustration and graphics"
"Buckets","7982639","Rope and washer pump and Blair bucket","https://doi.org/10.17028/rd.lboro.7982639.v1","Technical illustration and graphics"
"Buckets","7765079","Woman filling a bucket from a handpump","https://doi.org/10.17028/rd.lboro.7765079.v1","Line drawings"
"Buckets","7784069","Buckets and two taps","https://doi.org/10.17028/rd.lboro.7784069.v1","Line drawings"
"Buckets","7798586","Woman standing and holding a bucket of water on her head","https://doi.org/10.17028/rd.lboro.7798586.v1","Line drawings"
"Buckets","7798601","Woman walking and carrying a bucket of water on her head","https://doi.org/10.17028/rd.lboro.7798601.v1","Line drawings"
"Buckets","7798577","Woman holding a bucket of water on her head","https://doi.org/10.17028/rd.lboro.7798577.v1","Line drawings"
"Buckets","7798544","Man using a yoke to lift and carry two buckets of water","https://doi.org/10.17028/rd.lboro.7798544.v1","Line drawings"
"Buckets","7798565","Woman carrying water in a bucket","https://doi.org/10.17028/rd.lboro.7798565.v1","Line drawings"
"Buckets","7798535","Girl carrying a bucket 1","https://doi.org/10.17028/rd.lboro.7798535.v1","Line drawings"
"Buckets","7798541","Girl carrying a bucket 2","https://doi.org/10.17028/rd.lboro.7798541.v1","Line drawings"
"Buckets","7798697","Oxfam water bucket","https://doi.org/10.17028/rd.lboro.7798697.v1","Line drawings"
"Buckets","7798757","Bucket of turbid water","https://doi.org/10.17028/rd.lboro.7798757.v1","Line drawings"
"Buckets","7798838","Drawing water from a bucket with tap","https://doi.org/10.17028/rd.lboro.7798838.v1","Line drawings"
"Buckets","7798832","Bucket with a tap","https://doi.org/10.17028/rd.lboro.7798832.v1","Line drawings"
"Buckets","7688615","Replacing the washer of the Blair bucket","https://doi.org/10.17028/rd.lboro.7688615.v1","Technical illustration and graphics"
"Buckets","7688609","Replacing the washer of the Blair bucket","https://doi.org/10.17028/rd.lboro.7688609.v1","Technical illustration and graphics"
"Buckets","7688612","Replacing the washer of the Blair bucket","https://doi.org/10.17028/rd.lboro.7688612.v1","Technical illustration and graphics"
"Buckets","7688588","The Blair bucket pump fitted on a borehole","https://doi.org/10.17028/rd.lboro.7688588.v1","Technical illustration and graphics"
"Buckets","7688600","The Blair bucket and its valve","https://doi.org/10.17028/rd.lboro.7688600.v1","Technical illustration and graphics"
"Buckets","7688585","The Blair bucket pump fitted on a borehole","https://doi.org/10.17028/rd.lboro.7688585.v1","Technical illustration and graphics"
"Buckets","7680599","Protected well with double bucket system","https://doi.org/10.17028/rd.lboro.7680599.v1","Technical illustration and graphics"
"Buckets","7680629","Blair bucket pump","https://doi.org/10.17028/rd.lboro.7680629.v1","Technical illustration and graphics"
"Buckets","7680662","Blair bucket pump","https://doi.org/10.17028/rd.lboro.7680662.v1","Technical illustration and graphics"
"Buckets","7680590","Protected well with double bucket system","https://doi.org/10.17028/rd.lboro.7680590.v1","Technical illustration and graphics"
"Buckets","7472480","Man with a bucket","https://doi.org/10.17028/rd.lboro.7472480.v1","Line drawings"
"Buckets","7461170","Pour flush latrine with a bucket","https://doi.org/10.17028/rd.lboro.7461170.v1","Line drawings"
"Buckets","7461071","Bucket latrine - showing bucket","https://doi.org/10.17028/rd.lboro.7461071.v1","Line drawings"
"Buckets","7461074","Bucket latrine","https://doi.org/10.17028/rd.lboro.7461074.v1","Line drawings"
"Buckets","7270427","The Blair bucket and it's valve","https://doi.org/10.17028/rd.lboro.7270427.v1","Technical illustration and graphics"
"Buckets","7049219","Blair bucket in use","https://doi.org/10.17028/rd.lboro.7049219.v1","Technical illustration and graphics"
"Boreholes","12630737","Borehole latrine","https://doi.org/10.17028/rd.lboro.12630737.v1","Technical illustration and graphics"
"Boreholes","7837838","The effect of a shifting river in a permafrost area on groundwater depth and on the location of boreholes","https://doi.org/10.17028/rd.lboro.7837838.v1","Technical illustration and graphics"
"Boreholes","7874561","Progressive cavity pump mounted in borehole","https://doi.org/10.17028/rd.lboro.7874561.v1","Technical illustration and graphics"
"Boreholes","7907729","Borehole latrine","https://doi.org/10.17028/rd.lboro.7907729.v1","Technical illustration and graphics"
"Boreholes","7923962","Borehole screen and soil matrix","https://doi.org/10.17028/rd.lboro.7923962.v1","Technical illustration and graphics"
"Boreholes","7946030","Borehole latrine 2","https://doi.org/10.17028/rd.lboro.7946030.v1","Technical illustration and graphics"
"Boreholes","7946018","Borehole latrine 1","https://doi.org/10.17028/rd.lboro.7946018.v1","Technical illustration and graphics"
"Boreholes","8068826","Schematic details of a typical borehole","https://doi.org/10.17028/rd.lboro.8068826.v1","Technical illustration and graphics"
"Boreholes","8068805","Artesian fissure spring and artesian borehole","https://doi.org/10.17028/rd.lboro.8068805.v1","Technical illustration and graphics"
"Boreholes","8068799","Well borehole and gravity overflow","https://doi.org/10.17028/rd.lboro.8068799.v1","Technical illustration and graphics"
"Boreholes","8069063","A rope and washer pump used in a borehole","https://doi.org/10.17028/rd.lboro.8069063.v1","Technical illustration and graphics"
"Boreholes","7959218","The Tara handpump installed in a borehole","https://doi.org/10.17028/rd.lboro.7959218.v1","Technical illustration and graphics"
"Boreholes","7981943","Twisted V-belts for borehole pump","https://doi.org/10.17028/rd.lboro.7981943.v1","Technical illustration and graphics"
"Boreholes","7982648","Sanitary seal for a borehole","https://doi.org/10.17028/rd.lboro.7982648.v1","Technical illustration and graphics"
"Boreholes","7713164","Centrifugal pump driven by a shaft connection","https://doi.org/10.17028/rd.lboro.7713164.v1","Technical illustration and graphics"
"Boreholes","7713194","Use of twisted V-belts to drive a shaft driven borehole pump","https://doi.org/10.17028/rd.lboro.7713194.v1","Technical illustration and graphics"
"Boreholes","7713191","Use of twisted V-belts to drive a shaft driven borehole pump","https://doi.org/10.17028/rd.lboro.7713191.v1","Technical illustration and graphics"
"Boreholes","7713041","Centrifugal pump installations","https://doi.org/10.17028/rd.lboro.7713041.v1","Technical illustration and graphics"
"Boreholes","7713038","Centrifugal pump installations","https://doi.org/10.17028/rd.lboro.7713038.v1","Technical illustration and graphics"
"Boreholes","7713044","Centrifugal pump driven by a shaft connection","https://doi.org/10.17028/rd.lboro.7713044.v1","Technical illustration and graphics"
"Boreholes","7713026","Centrifugal pump impeller arrangements","https://doi.org/10.17028/rd.lboro.7713026.v1","Technical illustration and graphics"
"Boreholes","7713029","Centrifugal pump impeller arrangements","https://doi.org/10.17028/rd.lboro.7713029.v1","Technical illustration and graphics"
"Boreholes","7713032","Two types of centifugal pumps","https://doi.org/10.17028/rd.lboro.7713032.v1","Technical illustration and graphics"
"Boreholes","7713035","Two types of centifugal pumps","https://doi.org/10.17028/rd.lboro.7713035.v1","Technical illustration and graphics"
"Boreholes","7688588","The Blair bucket pump fitted on a borehole","https://doi.org/10.17028/rd.lboro.7688588.v1","Technical illustration and graphics"
"Boreholes","7688543","A rope and washer pump used in a borehole","https://doi.org/10.17028/rd.lboro.7688543.v1","Technical illustration and graphics"
"Boreholes","7688585","The Blair bucket pump fitted on a borehole","https://doi.org/10.17028/rd.lboro.7688585.v1","Technical illustration and graphics"
"Boreholes","7687832","Methods for driving well points","https://doi.org/10.17028/rd.lboro.7687832.v1","Technical illustration and graphics"
"Boreholes","7687835","Cost of shallow hand dug wells and hand augered boreholes","https://doi.org/10.17028/rd.lboro.7687835.v1","Technical illustration and graphics"
"Boreholes","7687838","Cost of shallow hand dug wells and hand augered boreholes","https://doi.org/10.17028/rd.lboro.7687838.v1","Technical illustration and graphics"
"Boreholes","7687829","Methods for driving well points","https://doi.org/10.17028/rd.lboro.7687829.v1","Technical illustration and graphics"
"Boreholes","7687640","Stages in lined borehole construction 9","https://doi.org/10.17028/rd.lboro.7687640.v1","Technical illustration and graphics"
"Boreholes","7687643","A Tara handpump installed in a borehole equipped with a RoBoScreen type wellpoint","https://doi.org/10.17028/rd.lboro.7687643.v1","Technical illustration and graphics"
"Boreholes","7687646","A Tara handpump installed in a borehole equipped with a RoBoScreen type wellpoint","https://doi.org/10.17028/rd.lboro.7687646.v1","Technical illustration and graphics"
"Boreholes","7687637","Stages in lined borehole construction 5 to 8","https://doi.org/10.17028/rd.lboro.7687637.v1","Technical illustration and graphics"
"Boreholes","7269701","Drilling a borehole: Stages 1 - 4","https://doi.org/10.17028/rd.lboro.7269701.v1","Technical illustration and graphics"
"Boreholes","7270412","Typical components of a borehole design","https://doi.org/10.17028/rd.lboro.7270412.v1","Technical illustration and graphics"
"Boreholes","7270415","Stages in rehabilitating a borehole","https://doi.org/10.17028/rd.lboro.7270415.v1","Technical illustration and graphics"
"Boreholes","7270409","Jetting","https://doi.org/10.17028/rd.lboro.7270409.v1","Technical illustration and graphics"
"Boreholes","7270406","Jetting method","https://doi.org/10.17028/rd.lboro.7270406.v1","Technical illustration and graphics"
"Boreholes","7270403","Borehole flushing","https://doi.org/10.17028/rd.lboro.7270403.v1","Technical illustration and graphics"
"Boreholes","7270400","Drilling a borehole: Stage 9","https://doi.org/10.17028/rd.lboro.7270400.v1","Technical illustration and graphics"
"Boreholes","7270385","Drilling a borehole: Stages 5 - 8","https://doi.org/10.17028/rd.lboro.7270385.v1","Technical illustration and graphics"
"Boreholes","7049222","Installation details of India Mark III deep well pump","https://doi.org/10.17028/rd.lboro.7049222.v1","Technical illustration and graphics"
"Apron slabs","12630725","Domed concrete slab without reinforcement","https://doi.org/10.17028/rd.lboro.12630725.v1","Technical illustration and graphics"
"Apron slabs","7844705","Handwashing facility showing insulated bucket basin soap dish and concrete slab","https://doi.org/10.17028/rd.lboro.7844705.v1","Technical illustration and graphics"
"Apron slabs","7844702","Additional support for latrine slabs","https://doi.org/10.17028/rd.lboro.7844702.v1","Technical illustration and graphics"
"Apron slabs","7874450","Simple concrete standpost apron","https://doi.org/10.17028/rd.lboro.7874450.v1","Technical illustration and graphics"
"Apron slabs","7902473","Wooden slab for twin compartment latrine","https://doi.org/10.17028/rd.lboro.7902473.v1","Technical illustration and graphics"
"Apron slabs","7907864","Reinforced concrete latrine slab","https://doi.org/10.17028/rd.lboro.7907864.v1","Technical illustration and graphics"
"Apron slabs","7907900","Domed concrete slab without reinforcement","https://doi.org/10.17028/rd.lboro.7907900.v1","Technical illustration and graphics"
"Apron slabs","7923560","Domed pit slab - plan and cross-section","https://doi.org/10.17028/rd.lboro.7923560.v1","Technical illustration and graphics"
"Apron slabs","8094404","A typical apron slap and channel drain","https://doi.org/10.17028/rd.lboro.8094404.v1","Technical illustration and graphics"
"Apron slabs","8094506","Simple R C slab deck","https://doi.org/10.17028/rd.lboro.8094506.v1","Technical illustration and graphics"
"Apron slabs","7945088","Oxfam plan four unit latrine blocks with 100x120cm slabs","https://doi.org/10.17028/rd.lboro.7945088.v1","Technical illustration and graphics"
"Apron slabs","7951550","Stone concrete slab for boys","https://doi.org/10.17028/rd.lboro.7951550.v1","Technical illustration and graphics"
"Apron slabs","7951547","Concrete slab for girls","https://doi.org/10.17028/rd.lboro.7951547.v1","Technical illustration and graphics"
"Apron slabs","7952135","Shallow concrete slab for boys","https://doi.org/10.17028/rd.lboro.7952135.v1","Technical illustration and graphics"
