"collection_name","title","year","doi"
"Buckets","Buckets and two taps",2019,"https://doi.org/10.17028/rd.lboro.7784069.v1"
"Buckets","Woman standing and holding a bucket of water on her head",2019,"https://doi.org/10.17028/rd.lboro.7798586.v1"
"Buckets","Woman walking and carrying a bucket of water on her head",2019,"https://doi.org/10.17028/rd.lboro.7798601.v1"
"Buckets","Woman holding a bucket of water on her head",2019,"https://doi.org/10.17028/rd.lboro.7798577.v1"
"Buckets","Man using a yoke to lift and carry two buckets of water",2019,"https://doi.org/10.17028/rd.lboro.7798544.v1"
"Buckets","Woman carrying water in a bucket",2019,"https://doi.org/10.17028/rd.lboro.7798565.v1"
"Buckets","Girl carrying a bucket 1",2019,"https://doi.org/10.17028/rd.lboro.7798535.v1"
"Buckets","Girl carrying a bucket 2",2019,"https://doi.org/10.17028/rd.lboro.7798541.v1"
"Buckets","Oxfam water bucket",2019,"https://doi.org/10.17028/rd.lboro.7798697.v1"
"Buckets","Bucket of turbid water",2019,"https://doi.org/10.17028/rd.lboro.7798757.v1"
"Buckets","Drawing water from a bucket with tap",2019,"https://doi.org/10.17028/rd.lboro.7798838.v1"
"Buckets","Bucket with a tap",2019,"https://doi.org/10.17028/rd.lboro.7798832.v1"
"Buckets","Replacing the washer of the Blair bucket",2019,"https://doi.org/10.17028/rd.lboro.7688615.v1"
"Buckets","Replacing the washer of the Blair bucket",2019,"https://doi.org/10.17028/rd.lboro.7688609.v1"
"Buckets","Replacing the washer of the Blair bucket",2019,"https://doi.org/10.17028/rd.lboro.7688612.v1"
"Buckets","The Blair bucket pump fitted on a borehole",2019,"https://doi.org/10.17028/rd.lboro.7688588.v1"
"Buckets","The Blair bucket and its valve",2019,"https://doi.org/10.17028/rd.lboro.7688600.v1"
"Buckets","The Blair bucket pump fitted on a borehole",2019,"https://doi.org/10.17028/rd.lboro.7688585.v1"
"Buckets","Protected well with double bucket system",2019,"https://doi.org/10.17028/rd.lboro.7680599.v1"
"Buckets","Blair bucket pump",2019,"https://doi.org/10.17028/rd.lboro.7680629.v1"
"Buckets","Blair bucket pump",2019,"https://doi.org/10.17028/rd.lboro.7680662.v1"
"Buckets","Protected well with double bucket system",2019,"https://doi.org/10.17028/rd.lboro.7680590.v1"
"Buckets","Man with a bucket",2018,"https://doi.org/10.17028/rd.lboro.7472480.v1"
"Buckets","Pour flush latrine with a bucket",2018,"https://doi.org/10.17028/rd.lboro.7461170.v1"
"Buckets","Bucket latrine - showing bucket",2018,"https://doi.org/10.17028/rd.lboro.7461071.v1"
"Buckets","Bucket latrine",2018,"https://doi.org/10.17028/rd.lboro.7461074.v1"
"Buckets","The Blair bucket and it's valve",2018,"https://doi.org/10.17028/rd.lboro.7270427.v1"
"Buckets","Blair bucket in use",2018,"https://doi.org/10.17028/rd.lboro.7049219.v1"
"Boreholes","Borehole latrine",2020,"https://doi.org/10.17028/rd.lboro.12630737.v1"
"Boreholes","The effect of a shifting river in a permafrost area on groundwater depth and on the location of boreholes",2019,"https://doi.org/10.17028/rd.lboro.7837838.v1"
"Boreholes","Progressive cavity pump mounted in borehole",2019,"https://doi.org/10.17028/rd.lboro.7874561.v1"
"Boreholes","Borehole latrine",2019,"https://doi.org/10.17028/rd.lboro.7907729.v1"
"Boreholes","Borehole screen and soil matrix",2019,"https://doi.org/10.17028/rd.lboro.7923962.v1"
"Boreholes","Borehole latrine 2",2019,"https://doi.org/10.17028/rd.lboro.7946030.v1"
"Boreholes","Borehole latrine 1",2019,"https://doi.org/10.17028/rd.lboro.7946018.v1"
"Boreholes","Schematic details of a typical borehole",2019,"https://doi.org/10.17028/rd.lboro.8068826.v1"
"Boreholes","Artesian fissure spring and artesian borehole",2019,"https://doi.org/10.17028/rd.lboro.8068805.v1"
"Boreholes","Well borehole and gravity overflow",2019,"https://doi.org/10.17028/rd.lboro.8068799.v1"
"Boreholes","A rope and washer pump used in a borehole",2019,"https://doi.org/10.17028/rd.lboro.8069063.v1"
"Boreholes","The Tara handpump installed in a borehole",2019,"https://doi.org/10.17028/rd.lboro.7959218.v1"
"Boreholes","Twisted V-belts for borehole pump",2019,"https://doi.org/10.17028/rd.lboro.7981943.v1"
"Boreholes","Sanitary seal for a borehole",2019,"https://doi.org/10.17028/rd.lboro.7982648.v1"
"Boreholes","Centrifugal pump driven by a shaft connection",2019,"https://doi.org/10.17028/rd.lboro.7713164.v1"
"Boreholes","Use of twisted V-belts to drive a shaft driven borehole pump",2019,"https://doi.org/10.17028/rd.lboro.7713194.v1"
"Boreholes","Use of twisted V-belts to drive a shaft driven borehole pump",2019,"https://doi.org/10.17028/rd.lboro.7713191.v1"
"Boreholes","Centrifugal pump installations",2019,"https://doi.org/10.17028/rd.lboro.7713041.v1"
"Boreholes","Centrifugal pump installations",2019,"https://doi.org/10.17028/rd.lboro.7713038.v1"
"Boreholes","Centrifugal pump driven by a shaft connection",2019,"https://doi.org/10.17028/rd.lboro.7713044.v1"
"Boreholes","Centrifugal pump impeller arrangements",2019,"https://doi.org/10.17028/rd.lboro.7713026.v1"
"Boreholes","Centrifugal pump impeller arrangements",2019,"https://doi.org/10.17028/rd.lboro.7713029.v1"
"Boreholes","Two types of centifugal pumps",2019,"https://doi.org/10.17028/rd.lboro.7713032.v1"
"Boreholes","Two types of centifugal pumps",2019,"https://doi.org/10.17028/rd.lboro.7713035.v1"
"Boreholes","The Blair bucket pump fitted on a borehole",2019,"https://doi.org/10.17028/rd.lboro.7688588.v1"
"Boreholes","A rope and washer pump used in a borehole",2019,"https://doi.org/10.17028/rd.lboro.7688543.v1"
"Boreholes","The Blair bucket pump fitted on a borehole",2019,"https://doi.org/10.17028/rd.lboro.7688585.v1"
"Boreholes","Methods for driving well points",2019,"https://doi.org/10.17028/rd.lboro.7687832.v1"
"Boreholes","Cost of shallow hand dug wells and hand augered boreholes",2019,"https://doi.org/10.17028/rd.lboro.7687835.v1"
"Boreholes","Cost of shallow hand dug wells and hand augered boreholes",2019,"https://doi.org/10.17028/rd.lboro.7687838.v1"
"Boreholes","Methods for driving well points",2019,"https://doi.org/10.17028/rd.lboro.7687829.v1"
"Boreholes","Stages in lined borehole construction 9",2019,"https://doi.org/10.17028/rd.lboro.7687640.v1"
"Boreholes","A Tara handpump installed in a borehole equipped with a RoBoScreen type wellpoint",2019,"https://doi.org/10.17028/rd.lboro.7687643.v1"
"Boreholes","A Tara handpump installed in a borehole equipped with a RoBoScreen type wellpoint",2019,"https://doi.org/10.17028/rd.lboro.7687646.v1"
"Boreholes","Stages in lined borehole construction 5 to 8",2019,"https://doi.org/10.17028/rd.lboro.7687637.v1"
"Boreholes","Drilling a borehole: Stages 1 - 4",2018,"https://doi.org/10.17028/rd.lboro.7269701.v1"
"Boreholes","Typical components of a borehole design",2018,"https://doi.org/10.17028/rd.lboro.7270412.v1"
"Boreholes","Stages in rehabilitating a borehole",2018,"https://doi.org/10.17028/rd.lboro.7270415.v1"
"Boreholes","Jetting",2018,"https://doi.org/10.17028/rd.lboro.7270409.v1"
"Boreholes","Jetting method",2018,"https://doi.org/10.17028/rd.lboro.7270406.v1"
"Boreholes","Borehole flushing",2018,"https://doi.org/10.17028/rd.lboro.7270403.v1"
"Boreholes","Drilling a borehole: Stage 9",2018,"https://doi.org/10.17028/rd.lboro.7270400.v1"
"Boreholes","Drilling a borehole: Stages 5 - 8",2018,"https://doi.org/10.17028/rd.lboro.7270385.v1"
"Boreholes","Installation details of India Mark III deep well pump",2018,"https://doi.org/10.17028/rd.lboro.7049222.v1"
"Apron slabs","Domed concrete slab without reinforcement",2020,"https://doi.org/10.17028/rd.lboro.12630725.v1"
"Apron slabs","Handwashing facility showing insulated bucket basin soap dish and concrete slab",2019,"https://doi.org/10.17028/rd.lboro.7844705.v1"
"Apron slabs","Additional support for latrine slabs",2019,"https://doi.org/10.17028/rd.lboro.7844702.v1"
"Apron slabs","Simple concrete standpost apron",2019,"https://doi.org/10.17028/rd.lboro.7874450.v1"
"Apron slabs","Wooden slab for twin compartment latrine",2019,"https://doi.org/10.17028/rd.lboro.7902473.v1"
"Apron slabs","Reinforced concrete latrine slab",2019,"https://doi.org/10.17028/rd.lboro.7907864.v1"
"Apron slabs","Domed concrete slab without reinforcement",2019,"https://doi.org/10.17028/rd.lboro.7907900.v1"
"Apron slabs","Domed pit slab - plan and cross-section",2019,"https://doi.org/10.17028/rd.lboro.7923560.v1"
"Apron slabs","A typical apron slap and channel drain",2019,"https://doi.org/10.17028/rd.lboro.8094404.v1"
"Apron slabs","Simple R C slab deck",2019,"https://doi.org/10.17028/rd.lboro.8094506.v1"
"Apron slabs","Oxfam plan four unit latrine blocks with 100x120cm slabs",2019,"https://doi.org/10.17028/rd.lboro.7945088.v1"
"Apron slabs","Stone concrete slab for boys",2019,"https://doi.org/10.17028/rd.lboro.7951550.v1"
"Apron slabs","Concrete slab for girls",2019,"https://doi.org/10.17028/rd.lboro.7951547.v1"
"Apron slabs","Shallow concrete slab for boys",2019,"https://doi.org/10.17028/rd.lboro.7952135.v1"
"Apron slabs","Concrete slab block for boys",2019,"https://doi.org/10.17028/rd.lboro.7951544.v1"
"Apron slabs","Reinforced concrete latrine slab 1",2019,"https://doi.org/10.17028/rd.lboro.7952459.v1"
"Apron slabs","Plastic slab",2019,"https://doi.org/10.17028/rd.lboro.7952456.v1"
